ANYO;MES;COD_PROV;DESC_PROV;COD_MUN;DESC_MUN;COD_NIVEL;DESC_NIVEL;DEMANDANTES
2017;3;3;ALICANTE;1;ADSUBIA;11;ESTUDIOS PRIMARIOS INCOMPLETOS;1
2017;3;3;ALICANTE;1;ADSUBIA;12;ESTUDIOS PRIMARIOS COMPLETOS;1
2017;3;3;ALICANTE;1;ADSUBIA;21;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE NO PRECISAN DE UNA TITULACIÓN ACADÉMICA DE LA 1ª ETAPA DE SECUNDARIA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;2
2017;3;3;ALICANTE;1;ADSUBIA;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;7
2017;3;3;ALICANTE;1;ADSUBIA;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;5
2017;3;3;ALICANTE;1;ADSUBIA;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;0
2017;3;3;ALICANTE;1;ADSUBIA;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;1
2017;3;3;ALICANTE;1;ADSUBIA;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);2
2017;3;3;ALICANTE;2;AGOST;11;ESTUDIOS PRIMARIOS INCOMPLETOS;21
2017;3;3;ALICANTE;2;AGOST;12;ESTUDIOS PRIMARIOS COMPLETOS;25
2017;3;3;ALICANTE;2;AGOST;21;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE NO PRECISAN DE UNA TITULACIÓN ACADÉMICA DE LA 1ª ETAPA DE SECUNDARIA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;1
2017;3;3;ALICANTE;2;AGOST;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;170
2017;3;3;ALICANTE;2;AGOST;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;135
2017;3;3;ALICANTE;2;AGOST;32;ENSEÑANZAS DE BACHILLERATO;16
2017;3;3;ALICANTE;2;AGOST;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;25
2017;3;3;ALICANTE;2;AGOST;34;ENSEÑANZAS DE GRADO MEDIO DE MÚSICA Y DANZA;1
2017;3;3;ALICANTE;2;AGOST;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;19
2017;3;3;ALICANTE;2;AGOST;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);6
2017;3;3;ALICANTE;2;AGOST;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);11
2017;3;3;ALICANTE;2;AGOST;59;ENSEÑANZAS UNIVERSITARIAS DE GRADO;2
2017;3;3;ALICANTE;2;AGOST;60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;3
2017;3;3;ALICANTE;2;AGOST;80;SIN ESTUDIOS;2
2017;3;3;ALICANTE;3;AGRES;11;ESTUDIOS PRIMARIOS INCOMPLETOS;1
2017;3;3;ALICANTE;3;AGRES;12;ESTUDIOS PRIMARIOS COMPLETOS;0
2017;3;3;ALICANTE;3;AGRES;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;15
2017;3;3;ALICANTE;3;AGRES;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;10
2017;3;3;ALICANTE;3;AGRES;32;ENSEÑANZAS DE BACHILLERATO;2
2017;3;3;ALICANTE;3;AGRES;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;3
2017;3;3;ALICANTE;3;AGRES;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;4
2017;3;3;ALICANTE;3;AGRES;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);2
2017;3;3;ALICANTE;3;AGRES;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);1
2017;3;3;ALICANTE;3;AGRES;60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;2
2017;3;3;ALICANTE;4;AIGÜES;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;20
2017;3;3;ALICANTE;4;AIGÜES;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;11
2017;3;3;ALICANTE;4;AIGÜES;32;ENSEÑANZAS DE BACHILLERATO;3
2017;3;3;ALICANTE;4;AIGÜES;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;9
2017;3;3;ALICANTE;4;AIGÜES;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;6
2017;3;3;ALICANTE;4;AIGÜES;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);6
2017;3;3;ALICANTE;4;AIGÜES;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);1
2017;3;3;ALICANTE;4;AIGÜES;59;ENSEÑANZAS UNIVERSITARIAS DE GRADO;1
2017;3;3;ALICANTE;5;ALBATERA;11;ESTUDIOS PRIMARIOS INCOMPLETOS;26
2017;3;3;ALICANTE;5;ALBATERA;12;ESTUDIOS PRIMARIOS COMPLETOS;37
2017;3;3;ALICANTE;5;ALBATERA;21;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE NO PRECISAN DE UNA TITULACIÓN ACADÉMICA DE LA 1ª ETAPA DE SECUNDARIA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;9
2017;3;3;ALICANTE;5;ALBATERA;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;551
2017;3;3;ALICANTE;5;ALBATERA;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;249
2017;3;3;ALICANTE;5;ALBATERA;32;ENSEÑANZAS DE BACHILLERATO;40
2017;3;3;ALICANTE;5;ALBATERA;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;46
2017;3;3;ALICANTE;5;ALBATERA;34;ENSEÑANZAS DE GRADO MEDIO DE MÚSICA Y DANZA;0
2017;3;3;ALICANTE;5;ALBATERA;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;35
2017;3;3;ALICANTE;5;ALBATERA;52;TÍTULOS PROPIOS DE LAS UNIVERSIDADES Y OTRAS ENSEÑANZAS QUE PRECISAN DEL TÍTULO DE BACHILLER (2 Y MÁS AÑOS).;1
2017;3;3;ALICANTE;5;ALBATERA;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);25
2017;3;3;ALICANTE;5;ALBATERA;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);14
2017;3;3;ALICANTE;5;ALBATERA;59;ENSEÑANZAS UNIVERSITARIAS DE GRADO;5
2017;3;3;ALICANTE;5;ALBATERA;60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;6
2017;3;3;ALICANTE;5;ALBATERA;61;DOCTORADO UNIVERSITARIO.;1
2017;3;3;ALICANTE;5;ALBATERA;80;SIN ESTUDIOS;22
2017;3;3;ALICANTE;6;ALCALALI;12;ESTUDIOS PRIMARIOS COMPLETOS;4
2017;3;3;ALICANTE;6;ALCALALI;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;26
2017;3;3;ALICANTE;6;ALCALALI;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;15
2017;3;3;ALICANTE;6;ALCALALI;32;ENSEÑANZAS DE BACHILLERATO;0
2017;3;3;ALICANTE;6;ALCALALI;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;1
2017;3;3;ALICANTE;6;ALCALALI;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;3
2017;3;3;ALICANTE;6;ALCALALI;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);1
